,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1560211200000,0.0359,0.045,0.03,0.0324,767242774.6,1560297599999,28270804.805211,61185,336124609.7,12401140.255501,0,2019-06-11,2019-06-11 23:59:59.999
1,1560297600000,0.03235,0.03366,0.0308,0.03218,278893018.3,1560383999999,8992631.336699,21552,109447367.2,3540012.012071,0,2019-06-12,2019-06-12 23:59:59.999
2,1560384000000,0.0322,0.036,0.02932,0.03009,365016984.2,1560470399999,12047396.179,26093,167805202.0,5548225.226879,0,2019-06-13,2019-06-13 23:59:59.999
3,1560470400000,0.03015,0.03108,0.02529,0.02737,231865238.2,1560556799999,6490706.590426,18056,97799021.7,2738320.821635,0,2019-06-14,2019-06-14 23:59:59.999
4,1560556800000,0.02737,0.03006,0.02563,0.0268,159700618.5,1560643199999,4441647.621267,13278,72765463.6,2030263.020657,0,2019-06-15,2019-06-15 23:59:59.999
5,1560643200000,0.02701,0.02749,0.02564,0.0268,114728166.1,1560729599999,3054343.034418,9324,46146702.1,1233840.142399,0,2019-06-16,2019-06-16 23:59:59.999
6,1560729600000,0.02677,0.02895,0.026,0.02666,206962426.1,1560815999999,5655298.181334,17582,92909979.7,2560800.469281,0,2019-06-17,2019-06-17 23:59:59.999
7,1560816000000,0.02666,0.028,0.02568,0.02728,107203322.7,1560902399999,2883845.125775,8497,43057012.1,1162833.533357,0,2019-06-18,2019-06-18 23:59:59.999
8,1560902400000,0.02736,0.02999,0.02733,0.0279,134345366.4,1560988799999,3842102.662348,12444,67703251.4,1939275.315317,0,2019-06-19,2019-06-19 23:59:59.999
9,1560988800000,0.0279,0.02845,0.02525,0.02633,103437851.9,1561075199999,2760145.255652,7849,29338053.0,788112.500937,0,2019-06-20,2019-06-20 23:59:59.999
10,1561075200000,0.02634,0.0265,0.02333,0.02377,123533843.9,1561161599999,3060133.379209,8101,45729808.1,1130692.058176,0,2019-06-21,2019-06-21 23:59:59.999
11,1561161600000,0.0237,0.02522,0.02268,0.02358,133486400.8,1561247999999,3177579.654596,10034,47167770.8,1130076.187405,0,2019-06-22,2019-06-22 23:59:59.999
12,1561248000000,0.02358,0.025,0.0224,0.0229,69080010.9,1561334399999,1650574.286066,5560,26460524.0,636296.738076,0,2019-06-23,2019-06-23 23:59:59.999
13,1561334400000,0.0229,0.02344,0.02242,0.02302,37475061.6,1561420799999,856626.38759,3233,15157589.0,348421.392717,0,2019-06-24,2019-06-24 23:59:59.999
14,1561420800000,0.02295,0.02313,0.02132,0.02156,56001929.0,1561507199999,1246432.759417,4792,18188339.7,406175.488207,0,2019-06-25,2019-06-25 23:59:59.999
15,1561507200000,0.02156,0.02341,0.02101,0.0224,99470048.1,1561593599999,2221161.010456,7901,52899682.3,1187415.141229,0,2019-06-26,2019-06-26 23:59:59.999
16,1561593600000,0.0223,0.02679,0.02159,0.02278,211512920.8,1561679999999,5163626.981929,18477,102446697.8,2528478.680421,0,2019-06-27,2019-06-27 23:59:59.999
17,1561680000000,0.0228,0.02496,0.02231,0.0249,57774782.1,1561766399999,1363258.171382,7151,27814462.3,658789.015693,0,2019-06-28,2019-06-28 23:59:59.999
18,1561766400000,0.0249,0.02928,0.0236,0.02651,215022913.0,1561852799999,5867510.846005,18350,125452740.6,3444709.716951,0,2019-06-29,2019-06-29 23:59:59.999
19,1561852800000,0.02648,0.02884,0.02573,0.02592,77715591.8,1561939199999,2112318.79129,9806,35495984.9,968727.462105,0,2019-06-30,2019-06-30 23:59:59.999
20,1561939200000,0.02595,0.02989,0.0243,0.02556,111483531.7,1562025599999,3003391.441606,12003,47035423.0,1285564.908788,0,2019-07-01,2019-07-01 23:59:59.999
21,1562025600000,0.02556,0.02617,0.023,0.02525,105371488.6,1562111999999,2575719.752229,10839,47134241.2,1159543.714765,0,2019-07-02,2019-07-02 23:59:59.999
22,1562112000000,0.02525,0.03351,0.025,0.03045,235893686.4,1562198399999,7119582.916526,25122,126268828.6,3805821.382378,0,2019-07-03,2019-07-03 23:59:59.999
23,1562198400000,0.03037,0.03268,0.02585,0.02735,118502113.8,1562284799999,3384859.298235,12974,43384060.0,1247421.776048,0,2019-07-04,2019-07-04 23:59:59.999
24,1562284800000,0.02735,0.02947,0.0262,0.02751,47838999.1,1562371199999,1341997.464761,7867,16966307.5,477052.194299,0,2019-07-05,2019-07-05 23:59:59.999
25,1562371200000,0.02751,0.02788,0.02568,0.02576,32324821.8,1562457599999,862344.499509,5586,13263991.4,354994.868329,0,2019-07-06,2019-07-06 23:59:59.999
26,1562457600000,0.02576,0.02674,0.02477,0.02504,34923925.7,1562543999999,894735.164568,4431,13449911.2,345324.336108,0,2019-07-07,2019-07-07 23:59:59.999
27,1562544000000,0.02504,0.02533,0.02263,0.02313,70924846.7,1562630399999,1686511.173174,7749,27620594.3,658111.679248,0,2019-07-08,2019-07-08 23:59:59.999
28,1562630400000,0.02312,0.0265,0.02269,0.02426,86308674.9,1562716799999,2107645.813767,11020,43284563.9,1062404.823869,0,2019-07-09,2019-07-09 23:59:59.999
29,1562716800000,0.02424,0.0255,0.023,0.02388,64831711.4,1562803199999,1542320.857119,8104,29851537.4,712724.349556,0,2019-07-10,2019-07-10 23:59:59.999
30,1562803200000,0.024,0.02557,0.02218,0.02452,55554605.4,1562889599999,1318558.229789,8671,27434352.8,653967.556194,0,2019-07-11,2019-07-11 23:59:59.999
31,1562889600000,0.0244,0.02764,0.02383,0.02477,70171757.6,1562975999999,1797437.398475,10684,34009292.3,874054.945504,0,2019-07-12,2019-07-12 23:59:59.999
32,1562976000000,0.02493,0.0267,0.0235,0.02488,45522906.6,1563062399999,1155776.514526,7394,18773799.1,476798.855496,0,2019-07-13,2019-07-13 23:59:59.999
33,1563062400000,0.02501,0.02577,0.02151,0.0216,41976469.8,1563148799999,981039.64875,6048,15125722.8,354235.855269,0,2019-07-14,2019-07-14 23:59:59.999
34,1563148800000,0.02156,0.0232,0.0192,0.02209,54219704.6,1563235199999,1114663.393557,6162,23087273.7,475937.784598,0,2019-07-15,2019-07-15 23:59:59.999
35,1563235200000,0.02208,0.02273,0.018,0.01809,37286898.2,1563321599999,746226.104972,4409,16551720.1,328698.540081,0,2019-07-16,2019-07-16 23:59:59.999
36,1563321600000,0.01809,0.02171,0.01732,0.0204,56027723.5,1563407999999,1097391.776755,6769,28658706.3,557971.890493,0,2019-07-17,2019-07-17 23:59:59.999
37,1563408000000,0.0204,0.02142,0.0188,0.02095,71789677.6,1563494399999,1468951.348676,6588,30131437.0,618376.042384,0,2019-07-18,2019-07-18 23:59:59.999
38,1563494400000,0.021,0.02146,0.02022,0.02092,21629768.0,1563580799999,451231.085619,2957,10616587.8,221685.439698,0,2019-07-19,2019-07-19 23:59:59.999
39,1563580800000,0.02089,0.02187,0.02003,0.02132,32346211.1,1563667199999,681629.605279,3843,14169017.7,299555.54696,0,2019-07-20,2019-07-20 23:59:59.999
40,1563667200000,0.02132,0.02139,0.02013,0.02082,14504782.8,1563753599999,303191.407321,2036,6056265.0,126361.575072,0,2019-07-21,2019-07-21 23:59:59.999
41,1563753600000,0.02072,0.02256,0.02053,0.02183,33411246.6,1563839999999,722866.157292,3972,18642269.4,403138.748903,0,2019-07-22,2019-07-22 23:59:59.999
42,1563840000000,0.02183,0.02226,0.0192,0.02033,34808375.0,1563926399999,720883.940235,3383,17551693.9,366307.751429,0,2019-07-23,2019-07-23 23:59:59.999
43,1563926400000,0.02023,0.02231,0.01964,0.02211,31555084.0,1564012799999,660554.893305,3680,16171872.0,339433.467176,0,2019-07-24,2019-07-24 23:59:59.999
44,1564012800000,0.02207,0.02404,0.02173,0.02267,44095844.9,1564099199999,1011323.569932,5683,21042402.3,483801.02359,0,2019-07-25,2019-07-25 23:59:59.999
45,1564099200000,0.02267,0.02478,0.02175,0.02374,26493156.6,1564185599999,621042.599122,3681,13364424.6,312927.935422,0,2019-07-26,2019-07-26 23:59:59.999
46,1564185600000,0.02377,0.02598,0.02314,0.02492,53607495.4,1564271999999,1319333.832752,8316,24777528.9,611007.015925,0,2019-07-27,2019-07-27 23:59:59.999
47,1564272000000,0.02492,0.02578,0.02315,0.02551,41494563.5,1564358399999,1012253.368438,6939,18421777.9,450488.967571,0,2019-07-28,2019-07-28 23:59:59.999
48,1564358400000,0.02552,0.02639,0.02434,0.02457,46512559.4,1564444799999,1189956.828948,6453,23417250.8,599975.88356,0,2019-07-29,2019-07-29 23:59:59.999
49,1564444800000,0.02443,0.02469,0.02224,0.02251,51505804.9,1564531199999,1198606.81139,5515,19818028.9,462484.60233,0,2019-07-30,2019-07-30 23:59:59.999
50,1564531200000,0.02251,0.02399,0.02224,0.02288,34361504.3,1564617599999,796937.329522,4130,16396844.4,379575.972487,0,2019-07-31,2019-07-31 23:59:59.999
51,1564617600000,0.02288,0.02308,0.02139,0.02163,21192954.1,1564703999999,469936.76177,2495,6449297.9,143989.585559,0,2019-08-01,2019-08-01 23:59:59.999
52,1564704000000,0.02163,0.02428,0.02134,0.02319,39319254.8,1564790399999,906066.613429,5255,18821319.3,433531.485828,0,2019-08-02,2019-08-02 23:59:59.999
53,1564790400000,0.02318,0.0234,0.0215,0.02188,31101554.0,1564876799999,698112.35169,3985,10875118.6,244734.292808,0,2019-08-03,2019-08-03 23:59:59.999
54,1564876800000,0.02188,0.02264,0.0214,0.02159,21487324.0,1564963199999,471254.404911,2976,9922337.4,218355.883962,0,2019-08-04,2019-08-04 23:59:59.999
55,1564963200000,0.02164,0.02274,0.02136,0.02171,36185766.9,1565049599999,787544.219404,4181,15182330.9,330977.460264,0,2019-08-05,2019-08-05 23:59:59.999
56,1565049600000,0.02169,0.02383,0.02162,0.02223,49599155.2,1565135999999,1120908.143383,6415,21921672.7,496554.052267,0,2019-08-06,2019-08-06 23:59:59.999
57,1565136000000,0.02221,0.02338,0.02164,0.02187,35994958.3,1565222399999,802905.102778,4397,14935384.4,334053.271164,0,2019-08-07,2019-08-07 23:59:59.999
58,1565222400000,0.02199,0.02202,0.01975,0.01993,51542377.9,1565308799999,1064076.140099,5411,18302186.6,379107.270523,0,2019-08-08,2019-08-08 23:59:59.999
59,1565308800000,0.0199,0.02003,0.01673,0.01716,41122763.9,1565395199999,748246.935301,4375,13447368.4,246366.44594,0,2019-08-09,2019-08-09 23:59:59.999
60,1565395200000,0.01715,0.01849,0.01702,0.01795,27004067.6,1565481599999,480512.562461,2704,13392128.3,238853.670757,0,2019-08-10,2019-08-10 23:59:59.999
61,1565481600000,0.01795,0.01939,0.01748,0.01817,31325773.0,1565567999999,580266.623418,2931,13237119.0,245192.509612,0,2019-08-11,2019-08-11 23:59:59.999
