,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1571961600000,0.46,1.644,0.46,1.2983,31814627.92,1572047999999,32599922.091156,82735,13957744.33,14474236.961945,0,2019-10-25,2019-10-25 23:59:59.999
1,1572048000000,1.2966,1.3612,0.9355,0.9762,12400051.14,1572134399999,13861795.10276,33022,5095521.98,5700287.525985,0,2019-10-26,2019-10-26 23:59:59.999
2,1572134400000,0.975,0.9996,0.7711,0.8068,7005026.47,1572220799999,5936316.316794,18554,2578772.34,2195893.770452,0,2019-10-27,2019-10-27 23:59:59.999
3,1572220800000,0.8127,1.0749,0.7335,0.9079,9038951.45,1572307199999,8313171.953311,25993,4213247.17,3889978.581091,0,2019-10-28,2019-10-28 23:59:59.999
4,1572307200000,0.9105,0.9656,0.8314,0.8694,4917546.31,1572393599999,4422899.053223,15098,2043642.8,1844618.691322,0,2019-10-29,2019-10-29 23:59:59.999
5,1572393600000,0.868,0.9036,0.8001,0.8565,2281113.86,1572479999999,1930461.957574,7407,994968.09,842158.609745,0,2019-10-30,2019-10-30 23:59:59.999
6,1572480000000,0.853,0.8565,0.7755,0.7999,1238606.17,1572566399999,1005089.847696,5318,442714.5,360038.250084,0,2019-10-31,2019-10-31 23:59:59.999
7,1572566400000,0.7998,0.8615,0.7699,0.8324,1976372.17,1572652799999,1635811.774304,7863,900496.92,746314.115919,0,2019-11-01,2019-11-01 23:59:59.999
8,1572652800000,0.8324,0.993,0.822,0.9501,4037814.98,1572739199999,3685320.327243,14907,2180880.89,1991911.990245,0,2019-11-02,2019-11-02 23:59:59.999
9,1572739200000,0.9501,1.2752,0.942,1.1706,10514830.74,1572825599999,11758640.488607,33178,5292861.85,5880599.83329,0,2019-11-03,2019-11-03 23:59:59.999
10,1572825600000,1.1706,1.388,1.0784,1.158,7974245.29,1572911999999,9473889.565446,29379,3535796.55,4215216.325546,0,2019-11-04,2019-11-04 23:59:59.999
11,1572912000000,1.1557,1.18,1.0251,1.0504,4385750.16,1572998399999,4766421.088436,18167,1939021.99,2108744.572988,0,2019-11-05,2019-11-05 23:59:59.999
12,1572998400000,1.0534,1.1,0.95,0.9658,2844899.11,1573084799999,2909065.626235,12141,1154478.85,1187762.703851,0,2019-11-06,2019-11-06 23:59:59.999
13,1573084800000,0.9686,1.1,0.9518,1.0609,3029139.22,1573171199999,3093250.020069,12063,1638281.27,1682660.48542,0,2019-11-07,2019-11-07 23:59:59.999
14,1573171200000,1.0584,1.1919,1.0201,1.0529,5776695.23,1573257599999,6418666.19238,21789,2833333.59,3153565.684953,0,2019-11-08,2019-11-08 23:59:59.999
15,1573257600000,1.0529,1.1653,1.0208,1.1369,3257314.17,1573343999999,3543974.016134,14299,1602497.63,1745169.064746,0,2019-11-09,2019-11-09 23:59:59.999
16,1573344000000,1.1321,1.2354,1.0733,1.1447,4035377.67,1573430399999,4728681.335603,14330,1897658.22,2228482.102804,0,2019-11-10,2019-11-10 23:59:59.999
17,1573430400000,1.149,1.1999,1.11,1.1579,2080656.39,1573516799999,2391918.213238,9366,965586.74,1114178.188154,0,2019-11-11,2019-11-11 23:59:59.999
18,1573516800000,1.1579,1.17,1.0514,1.089,2063123.14,1573603199999,2262106.724242,8380,875719.59,960333.765977,0,2019-11-12,2019-11-12 23:59:59.999
19,1573603200000,1.089,1.11,1.0601,1.0685,736102.41,1573689599999,798458.095496,3636,287192.09,311963.320827,0,2019-11-13,2019-11-13 23:59:59.999
20,1573689600000,1.0694,1.085,0.9875,1.0409,1683584.38,1573775999999,1763647.982882,6456,763857.08,801337.014444,0,2019-11-14,2019-11-14 23:59:59.999
21,1573776000000,1.0422,1.0701,1.0102,1.045,1387490.97,1573862399999,1449474.064166,5350,672443.82,703867.988615,0,2019-11-15,2019-11-15 23:59:59.999
22,1573862400000,1.0426,1.162,1.0237,1.0998,2855570.15,1573948799999,3175529.903073,9693,1416191.88,1574258.143482,0,2019-11-16,2019-11-16 23:59:59.999
