,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1566518400000,0.45,0.45,0.3967,0.4109,2419868.99,1566604799999,993832.313449,1431,1930260.6,794163.099185,0,2019-08-23,2019-08-23 23:59:59.999
1,1566604800000,0.4112,0.4179,0.3708,0.3925,783334.72,1566691199999,314047.438659,1653,389549.39,157523.03514,0,2019-08-24,2019-08-24 23:59:59.999
2,1566691200000,0.3939,0.4153,0.3459,0.3566,1995901.64,1566777599999,754770.175046,2865,1408249.66,536442.368159,0,2019-08-25,2019-08-25 23:59:59.999
3,1566777600000,0.3595,0.49,0.35,0.445,3092037.5,1566863999999,1258741.601466,4125,2155093.75,879727.726326,0,2019-08-26,2019-08-26 23:59:59.999
4,1566864000000,0.445,0.49,0.4057,0.4208,1062596.43,1566950399999,456265.071522,3079,519876.08,225658.744129,0,2019-08-27,2019-08-27 23:59:59.999
5,1566950400000,0.4208,0.4291,0.3725,0.3793,487725.78,1567036799999,194531.127897,1586,187537.22,74775.732942,0,2019-08-28,2019-08-28 23:59:59.999
6,1567036800000,0.3812,0.3915,0.3501,0.388,445464.52,1567123199999,164555.064085,1109,233505.93,86965.167358,0,2019-08-29,2019-08-29 23:59:59.999
7,1567123200000,0.3881,0.4109,0.3812,0.3977,635831.14,1567209599999,252989.148324,1955,283667.74,113294.770515,0,2019-08-30,2019-08-30 23:59:59.999
8,1567209600000,0.3985,0.439,0.3872,0.4065,1152524.69,1567295999999,482291.229132,2473,491644.12,206555.00972,0,2019-08-31,2019-08-31 23:59:59.999
9,1567296000000,0.4091,0.4299,0.3732,0.3802,811550.85,1567382399999,319702.747908,1823,323516.29,127707.208098,0,2019-09-01,2019-09-01 23:59:59.999
10,1567382400000,0.3801,0.4024,0.3681,0.3936,2298012.01,1567468799999,895808.534317,2888,1619722.32,634810.474278,0,2019-09-02,2019-09-02 23:59:59.999
