,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1554249600000,1.7,1.7,1.2729,1.3561,1346486.14,1554335999999,1921579.107258,7067,529712.9,759106.149968,0,2019-04-03,2019-04-03 23:59:59.999
1,1554336000000,1.347,1.45,1.2729,1.3159,989461.16,1554422399999,1332936.724012,4672,382340.17,515870.265388,0,2019-04-04,2019-04-04 23:59:59.999
2,1554422400000,1.3169,1.442,1.3065,1.4249,554146.21,1554508799999,765679.487851,3279,350049.53,483836.528513,0,2019-04-05,2019-04-05 23:59:59.999
3,1554508800000,1.43,1.4667,1.3558,1.385,498969.81,1554595199999,703983.909632,3939,213126.9,301406.01585,0,2019-04-06,2019-04-06 23:59:59.999
4,1554595200000,1.3935,1.43,1.3665,1.405,298098.63,1554681599999,416971.662852,2337,156634.02,219100.325892,0,2019-04-07,2019-04-07 23:59:59.999
5,1554681600000,1.4049,1.7238,1.3959,1.5876,2705175.72,1554767999999,4270341.619228,17844,1294961.08,2048887.679578,0,2019-04-08,2019-04-08 23:59:59.999
6,1554768000000,1.5875,1.85,1.5755,1.6745,3286361.78,1554854399999,5716326.734306,19756,1465917.9,2556958.001845,0,2019-04-09,2019-04-09 23:59:59.999
7,1554854400000,1.674,1.7308,1.6,1.6131,1498483.53,1554940799999,2494362.852376,11207,662522.31,1106567.968214,0,2019-04-10,2019-04-10 23:59:59.999
8,1554940800000,1.6194,1.6376,1.376,1.455,1453742.57,1555027199999,2179570.034041,9866,574891.07,862520.301985,0,2019-04-11,2019-04-11 23:59:59.999
9,1555027200000,1.4628,1.66,1.373,1.63,1289441.41,1555113599999,2017221.559455,9310,650067.48,1019852.087139,0,2019-04-12,2019-04-12 23:59:59.999
10,1555113600000,1.63,1.6589,1.5169,1.5452,663726.25,1555199999999,1044801.87597,5431,269252.89,426046.384817,0,2019-04-13,2019-04-13 23:59:59.999
11,1555200000000,1.5451,1.6148,1.485,1.5684,501815.54,1555286399999,771673.860828,4647,236165.08,363508.694379,0,2019-04-14,2019-04-14 23:59:59.999
12,1555286400000,1.5721,1.63,1.4506,1.5228,695004.0,1555372799999,1073067.684546,6559,309341.85,478186.282499,0,2019-04-15,2019-04-15 23:59:59.999
13,1555372800000,1.5164,1.57,1.4554,1.5182,657120.45,1555459199999,989780.92016,5267,297372.14,448583.322285,0,2019-04-16,2019-04-16 23:59:59.999
14,1555459200000,1.5169,1.6488,1.5169,1.6045,852791.46,1555545599999,1363129.921887,6580,421204.88,672931.18538,0,2019-04-17,2019-04-17 23:59:59.999
15,1555545600000,1.6099,1.694,1.6039,1.6482,581845.22,1555631999999,958973.109482,5590,288013.19,475033.163978,0,2019-04-18,2019-04-18 23:59:59.999
16,1555632000000,1.6482,1.7377,1.6006,1.7377,471601.73,1555718399999,777597.340953,5227,239423.7,395827.65707,0,2019-04-19,2019-04-19 23:59:59.999
17,1555718400000,1.7377,1.7749,1.6651,1.7173,531474.77,1555804799999,909616.540789,5983,237496.14,408273.209244,0,2019-04-20,2019-04-20 23:59:59.999
18,1555804800000,1.7229,1.7274,1.5691,1.6705,530830.22,1555891199999,870961.308733,5567,231905.78,379907.861872,0,2019-04-21,2019-04-21 23:59:59.999
19,1555891200000,1.6705,1.8034,1.6596,1.7679,744327.56,1555977599999,1298376.410702,8438,360995.54,630748.997672,0,2019-04-22,2019-04-22 23:59:59.999
20,1555977600000,1.7646,1.97,1.7615,1.9242,1728379.02,1556063999999,3248482.802657,16335,862306.88,1624722.053242,0,2019-04-23,2019-04-23 23:59:59.999
21,1556064000000,1.9247,1.9247,1.6759,1.7794,1391729.99,1556150399999,2464276.328021,12093,637147.3,1127033.500032,0,2019-04-24,2019-04-24 23:59:59.999
22,1556150400000,1.7801,1.85,1.6037,1.635,1044859.92,1556236799999,1805357.513654,10080,402459.03,699861.054233,0,2019-04-25,2019-04-25 23:59:59.999
23,1556236800000,1.6357,1.68,1.4745,1.5728,1469845.42,1556323199999,2315866.76932,12210,552585.39,871997.799325,0,2019-04-26,2019-04-26 23:59:59.999
24,1556323200000,1.5835,1.6183,1.5119,1.5923,434598.25,1556409599999,680713.233084,4165,159530.36,250380.1448,0,2019-04-27,2019-04-27 23:59:59.999
