,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1550275200000,1.2,4.0,0.861,0.8691,11683898.26,1550361599999,13598325.863485,37162,5138589.77,6135845.279385,0,2019-02-16,2019-02-16 23:59:59.999
1,1550361600000,0.8647,0.92,0.753,0.7766,10794099.05,1550447999999,8887147.729018,28489,4507847.03,3734995.482631,0,2019-02-17,2019-02-17 23:59:59.999
2,1550448000000,0.7766,0.7766,0.6598,0.71,7156154.38,1550534399999,5066067.100986,18546,2991248.77,2113076.253042,0,2019-02-18,2019-02-18 23:59:59.999
3,1550534400000,0.7098,0.8889,0.67,0.7759,13980845.14,1550620799999,11124560.151988,38829,6267137.17,4999590.372797,0,2019-02-19,2019-02-19 23:59:59.999
4,1550620800000,0.7786,0.81,0.7382,0.7826,5000897.59,1550707199999,3871528.050711,16137,2390091.9,1854008.558911,0,2019-02-20,2019-02-20 23:59:59.999
5,1550707200000,0.7826,0.7826,0.7073,0.7278,2875327.47,1550793599999,2134455.156843,10151,1108348.89,819333.711736,0,2019-02-21,2019-02-21 23:59:59.999
6,1550793600000,0.7278,0.7575,0.7151,0.7358,1870907.42,1550879999999,1369559.466974,7458,831943.9,610192.431193,0,2019-02-22,2019-02-22 23:59:59.999
7,1550880000000,0.7358,0.7999,0.7281,0.7542,3629652.83,1550966399999,2758410.089912,15614,1875339.95,1425396.104257,0,2019-02-23,2019-02-23 23:59:59.999
8,1550966400000,0.7542,0.794,0.6126,0.6398,5131174.11,1551052799999,3698645.976816,15813,2048655.15,1477973.831702,0,2019-02-24,2019-02-24 23:59:59.999
9,1551052800000,0.6446,0.6899,0.6335,0.645,2222770.41,1551139199999,1456544.453342,8830,1283769.91,842940.677453,0,2019-02-25,2019-02-25 23:59:59.999
10,1551139200000,0.645,0.67,0.615,0.6305,912785.96,1551225599999,576858.081144,4239,464691.88,294328.522106,0,2019-02-26,2019-02-26 23:59:59.999
11,1551225600000,0.6306,0.6403,0.5774,0.5948,1300415.06,1551311999999,790192.489926,6133,570441.0,346783.42091,0,2019-02-27,2019-02-27 23:59:59.999
12,1551312000000,0.5947,0.5986,0.5525,0.5768,1901742.12,1551398399999,1088900.2418,7238,852587.06,488051.432211,0,2019-02-28,2019-02-28 23:59:59.999
13,1551398400000,0.5769,0.5929,0.5511,0.5746,1460520.55,1551484799999,836263.419788,5777,555475.99,319758.060094,0,2019-03-01,2019-03-01 23:59:59.999
14,1551484800000,0.575,0.619,0.5546,0.5708,1892712.96,1551571199999,1105411.16149,7603,944250.08,553416.847859,0,2019-03-02,2019-03-02 23:59:59.999
15,1551571200000,0.5706,0.5844,0.538,0.5522,860647.54,1551657599999,482428.679452,4002,409644.02,230093.977922,0,2019-03-03,2019-03-03 23:59:59.999
16,1551657600000,0.5507,0.5562,0.48,0.5071,1047321.87,1551743999999,531914.714528,4979,469849.59,237437.514087,0,2019-03-04,2019-03-04 23:59:59.999
17,1551744000000,0.5071,0.5444,0.4993,0.5367,777854.42,1551830399999,407083.286255,4133,415398.24,217922.233513,0,2019-03-05,2019-03-05 23:59:59.999
18,1551830400000,0.5366,0.543,0.507,0.5212,693603.63,1551916799999,363685.285529,3350,321879.3,168599.708374,0,2019-03-06,2019-03-06 23:59:59.999
19,1551916800000,0.5216,0.5494,0.515,0.534,773791.42,1552003199999,407726.543113,3476,360360.17,189678.121972,0,2019-03-07,2019-03-07 23:59:59.999
20,1552003200000,0.5338,0.6076,0.5181,0.524,2724291.46,1552089599999,1518845.960593,9665,1284094.82,715384.32039,0,2019-03-08,2019-03-08 23:59:59.999
21,1552089600000,0.5295,0.56,0.5161,0.54,991144.04,1552175999999,528553.679476,4322,468938.97,251107.171723,0,2019-03-09,2019-03-09 23:59:59.999
22,1552176000000,0.5387,0.54,0.49,0.5151,1095067.84,1552262399999,562943.461394,4665,465926.74,238583.728643,0,2019-03-10,2019-03-10 23:59:59.999
23,1552262400000,0.515,0.5517,0.4701,0.4899,1594759.75,1552348799999,801451.847354,6418,823330.43,417757.238081,0,2019-03-11,2019-03-11 23:59:59.999
24,1552348800000,0.4899,0.5616,0.4788,0.511,1811584.37,1552435199999,938983.643401,7507,900650.54,470009.433392,0,2019-03-12,2019-03-12 23:59:59.999
25,1552435200000,0.511,0.88,0.5105,0.739,21698353.51,1552521599999,15238085.073912,71149,11114023.08,7800456.625959,0,2019-03-13,2019-03-13 23:59:59.999
26,1552521600000,0.7411,0.7658,0.6,0.6234,12290758.11,1552607999999,8079346.174592,38221,5691359.96,3743167.083032,0,2019-03-14,2019-03-14 23:59:59.999
27,1552608000000,0.623,0.6417,0.5898,0.64,6334297.44,1552694399999,3877387.81613,20555,3170459.17,1942839.281174,0,2019-03-15,2019-03-15 23:59:59.999
28,1552694400000,0.64,0.642,0.6135,0.6295,4039435.77,1552780799999,2520856.134954,14631,1952189.95,1218572.323316,0,2019-03-16,2019-03-16 23:59:59.999
29,1552780800000,0.6295,0.655,0.6151,0.6448,10264349.23,1552867199999,6488449.837779,38025,4648012.95,2938062.681517,0,2019-03-17,2019-03-17 23:59:59.999
30,1552867200000,0.6448,0.6448,0.61,0.6245,10278355.63,1552953599999,6410277.199176,37137,4832778.38,3015224.036673,0,2019-03-18,2019-03-18 23:59:59.999
31,1552953600000,0.6245,0.6245,0.5969,0.6114,10846968.48,1553039999999,6625005.623895,39139,5262141.67,3216093.104563,0,2019-03-19,2019-03-19 23:59:59.999
32,1553040000000,0.6108,0.6617,0.6,0.658,25717847.18,1553126399999,15992561.700505,119561,13414595.9,8335531.460722,0,2019-03-20,2019-03-20 23:59:59.999
33,1553126400000,0.6575,0.6842,0.58,0.6255,4865155.26,1553212799999,3089063.728764,18586,2315066.64,1467163.163457,0,2019-03-21,2019-03-21 23:59:59.999
34,1553212800000,0.6263,0.6499,0.6232,0.6452,1610625.05,1553299199999,1027748.164274,8719,713734.44,456278.273278,0,2019-03-22,2019-03-22 23:59:59.999
35,1553299200000,0.6445,0.6445,0.6236,0.6347,591664.75,1553385599999,374805.446807,3550,252754.21,160158.116613,0,2019-03-23,2019-03-23 23:59:59.999
36,1553385600000,0.6348,0.638,0.6111,0.6261,658208.71,1553471999999,410192.365792,3742,333157.9,207627.849259,0,2019-03-24,2019-03-24 23:59:59.999
37,1553472000000,0.626,0.6264,0.58,0.596,738350.15,1553558399999,444993.442294,4327,320047.65,193203.035839,0,2019-03-25,2019-03-25 23:59:59.999
38,1553558400000,0.5965,0.5995,0.5525,0.5863,731879.74,1553644799999,417728.911142,4648,336410.8,192493.055726,0,2019-03-26,2019-03-26 23:59:59.999
39,1553644800000,0.5853,0.6196,0.5772,0.6088,687179.95,1553731199999,412841.696942,5087,390272.91,234489.851619,0,2019-03-27,2019-03-27 23:59:59.999
40,1553731200000,0.6079,0.628,0.5911,0.6064,738495.8,1553817599999,448476.741029,4175,345956.89,210573.302257,0,2019-03-28,2019-03-28 23:59:59.999
41,1553817600000,0.6054,0.6065,0.5922,0.6001,391664.32,1553903999999,234808.875652,2351,161151.8,96668.713653,0,2019-03-29,2019-03-29 23:59:59.999
42,1553904000000,0.6005,0.6076,0.5788,0.5925,559477.49,1553990399999,330503.095919,2819,249486.29,147398.058106,0,2019-03-30,2019-03-30 23:59:59.999
43,1553990400000,0.5921,0.6023,0.5828,0.5998,583199.5,1554076799999,345775.175273,2641,325076.43,192285.036237,0,2019-03-31,2019-03-31 23:59:59.999
44,1554076800000,0.601,0.6023,0.5894,0.5939,424450.75,1554163199999,252777.704899,2015,193001.97,114984.03353,0,2019-04-01,2019-04-01 23:59:59.999
45,1554163200000,0.5967,0.63,0.578,0.6294,2174087.28,1554249599999,1320871.861312,9245,1032238.96,628810.174391,0,2019-04-02,2019-04-02 23:59:59.999
46,1554249600000,0.6298,0.6727,0.5966,0.6133,2678909.56,1554335999999,1707572.431686,12609,1320734.97,841560.926044,0,2019-04-03,2019-04-03 23:59:59.999
47,1554336000000,0.6096,0.6639,0.6075,0.6442,1806153.86,1554422399999,1163127.747745,9056,958386.01,616187.596515,0,2019-04-04,2019-04-04 23:59:59.999
48,1554422400000,0.6424,0.6636,0.6377,0.6577,671220.35,1554508799999,437784.9947,4650,332418.53,216919.050673,0,2019-04-05,2019-04-05 23:59:59.999
49,1554508800000,0.6584,0.6796,0.635,0.6485,881623.89,1554595199999,581398.943601,5027,384227.15,253758.927634,0,2019-04-06,2019-04-06 23:59:59.999
50,1554595200000,0.6467,0.6549,0.6292,0.642,462442.01,1554681599999,297916.447676,2801,214259.41,138309.180132,0,2019-04-07,2019-04-07 23:59:59.999
51,1554681600000,0.642,0.6482,0.5973,0.6218,630893.2,1554767999999,391503.375104,4086,324617.35,201419.849979,0,2019-04-08,2019-04-08 23:59:59.999
