,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1566777600000,0.0775,0.27,0.0775,0.1151,109068248.55,1566863999999,14385725.407783,50662,49355773.75,6524624.782535,0,2019-08-26,2019-08-26 23:59:59.999
1,1566864000000,0.1152,0.1295,0.104,0.1124,63447425.52,1566950399999,7352469.232878,23050,30270905.49,3509995.890682,0,2019-08-27,2019-08-27 23:59:59.999
2,1566950400000,0.1121,0.1188,0.094,0.0969,32566080.35,1567036799999,3492466.390271,11265,13295072.05,1431208.520738,0,2019-08-28,2019-08-28 23:59:59.999
3,1567036800000,0.0969,0.0978,0.0877,0.0911,19029796.94,1567123199999,1749656.666741,7202,6850220.54,630869.616605,0,2019-08-29,2019-08-29 23:59:59.999
4,1567123200000,0.091,0.1044,0.0889,0.0923,27236597.71,1567209599999,2645418.124393,10727,12774035.21,1242593.541209,0,2019-08-30,2019-08-30 23:59:59.999
5,1567209600000,0.0921,0.094,0.084,0.0869,11423278.11,1567295999999,1018248.241759,5330,4575187.64,407518.223015,0,2019-08-31,2019-08-31 23:59:59.999
6,1567296000000,0.0868,0.0937,0.085,0.0896,10996611.92,1567382399999,977117.298581,5773,4569780.25,406613.049924,0,2019-09-01,2019-09-01 23:59:59.999
7,1567382400000,0.0896,0.09,0.0806,0.084,20623960.79,1567468799999,1734728.290943,6052,8359031.73,705817.346861,0,2019-09-02,2019-09-02 23:59:59.999
8,1567468800000,0.0847,0.09,0.0827,0.0861,14195558.13,1567555199999,1225314.008551,5316,6478888.49,560910.339513,0,2019-09-03,2019-09-03 23:59:59.999
9,1567555200000,0.0856,0.0993,0.0843,0.0928,22560901.81,1567641599999,2104292.858172,8816,10339956.0,966903.712994,0,2019-09-04,2019-09-04 23:59:59.999
10,1567641600000,0.0928,0.1028,0.0877,0.0888,24303825.43,1567727999999,2338720.058475,9353,10655149.23,1031634.029375,0,2019-09-05,2019-09-05 23:59:59.999
11,1567728000000,0.0888,0.0911,0.08,0.0816,20579076.49,1567814399999,1744945.762366,6355,7599014.97,647178.791019,0,2019-09-06,2019-09-06 23:59:59.999
12,1567814400000,0.0815,0.0824,0.0787,0.081,8934102.39,1567900799999,718252.13232,3149,3967583.56,319731.902606,0,2019-09-07,2019-09-07 23:59:59.999
13,1567900800000,0.0811,0.0852,0.0796,0.0812,8511596.96,1567987199999,694696.622961,2775,3381183.45,277188.652587,0,2019-09-08,2019-09-08 23:59:59.999
14,1567987200000,0.0812,0.0823,0.0775,0.0796,6664965.41,1568073599999,531757.895281,2492,2886581.49,230958.147989,0,2019-09-09,2019-09-09 23:59:59.999
15,1568073600000,0.0796,0.0832,0.0777,0.0786,7889314.57,1568159999999,630742.610037,2416,3284875.65,264122.342646,0,2019-09-10,2019-09-10 23:59:59.999
16,1568160000000,0.0784,0.0799,0.0666,0.0676,13291573.03,1568246399999,974139.559586,3934,4893038.22,359300.628972,0,2019-09-11,2019-09-11 23:59:59.999
17,1568246400000,0.0681,0.0713,0.0646,0.0664,11636938.98,1568332799999,782155.286635,3243,4410569.75,298057.512834,0,2019-09-12,2019-09-12 23:59:59.999
18,1568332800000,0.0664,0.0682,0.0625,0.0644,5854823.83,1568419199999,380294.347369,2017,2205214.79,143541.817041,0,2019-09-13,2019-09-13 23:59:59.999
19,1568419200000,0.0644,0.0646,0.0601,0.0612,7690002.05,1568505599999,473892.597105,2107,2952601.79,182460.895673,0,2019-09-14,2019-09-14 23:59:59.999
20,1568505600000,0.0615,0.0642,0.06,0.063,6695467.09,1568591999999,414174.322417,2007,2913470.35,181221.915083,0,2019-09-15,2019-09-15 23:59:59.999
21,1568592000000,0.063,0.0636,0.0557,0.0577,12960539.01,1568678399999,763412.250752,3064,4935721.48,291044.393681,0,2019-09-16,2019-09-16 23:59:59.999
22,1568678400000,0.0579,0.0589,0.0567,0.0573,11262313.48,1568764799999,651827.84894,2972,4629541.15,268382.770164,0,2019-09-17,2019-09-17 23:59:59.999
23,1568764800000,0.0574,0.0623,0.0563,0.0603,20903866.16,1568851199999,1249240.297161,6553,8477513.16,507643.592402,0,2019-09-18,2019-09-18 23:59:59.999
24,1568851200000,0.0604,0.0606,0.0525,0.0557,11906945.12,1568937599999,654518.635465,3605,4769446.2,261790.364038,0,2019-09-19,2019-09-19 23:59:59.999
25,1568937600000,0.0556,0.0694,0.0534,0.056,36552172.19,1569023999999,2260830.506361,6928,12755652.94,775900.053761,0,2019-09-20,2019-09-20 23:59:59.999
26,1569024000000,0.056,0.0618,0.0559,0.0585,17100074.92,1569110399999,1013739.159476,4802,7740351.43,460546.861586,0,2019-09-21,2019-09-21 23:59:59.999
27,1569110400000,0.0585,0.0589,0.0511,0.0523,11610178.69,1569196799999,636303.430372,3318,4608855.89,252538.387809,0,2019-09-22,2019-09-22 23:59:59.999
28,1569196800000,0.0522,0.0527,0.0456,0.0473,10226521.09,1569283199999,499241.729057,3037,4463151.57,218979.538616,0,2019-09-23,2019-09-23 23:59:59.999
