,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1558656000000,0.025,0.026,0.01222,0.01515,1090620009.5,1558742399999,16881697.657967,41260,483233538.6,7518750.37299,0,2019-05-24,2019-05-24 23:59:59.999
1,1558742400000,0.01514,0.02478,0.01503,0.022,2299062770.5,1558828799999,48250834.938386,97033,1084441472.9,22737929.184279,0,2019-05-25,2019-05-25 23:59:59.999
2,1558828800000,0.02195,0.02308,0.01691,0.01756,1336342202.3,1558915199999,25650409.294098,55696,601283918.0,11559953.032839,0,2019-05-26,2019-05-26 23:59:59.999
3,1558915200000,0.0176,0.018,0.01575,0.01646,682880948.8,1559001599999,11505662.863364,27133,289197604.1,4889775.957759,0,2019-05-27,2019-05-27 23:59:59.999
4,1559001600000,0.01642,0.01704,0.0155,0.01643,488613396.5,1559087999999,7885607.704066,16629,211318515.6,3424134.52051,0,2019-05-28,2019-05-28 23:59:59.999
5,1559088000000,0.01643,0.01865,0.0158,0.01798,767504163.3,1559174399999,13171756.183119,27712,389838169.8,6700631.216935,0,2019-05-29,2019-05-29 23:59:59.999
6,1559174400000,0.01793,0.01804,0.01331,0.01445,627599342.5,1559260799999,10044016.021921,23833,275380275.0,4397752.996853,0,2019-05-30,2019-05-30 23:59:59.999
7,1559260800000,0.01444,0.0149,0.01373,0.01477,320560664.2,1559347199999,4613636.282324,11131,139256989.1,2007615.340758,0,2019-05-31,2019-05-31 23:59:59.999
8,1559347200000,0.01477,0.01496,0.0135,0.01416,391357409.4,1559433599999,5589921.223541,13982,172785941.6,2468552.591604,0,2019-06-01,2019-06-01 23:59:59.999
9,1559433600000,0.01415,0.01526,0.01405,0.01465,240528606.0,1559519999999,3503585.514292,9583,115355059.2,1684818.034914,0,2019-06-02,2019-06-02 23:59:59.999
10,1559520000000,0.01467,0.01468,0.01322,0.01335,172830450.9,1559606399999,2402548.557427,8173,74339537.8,1034125.435069,0,2019-06-03,2019-06-03 23:59:59.999
11,1559606400000,0.01334,0.01368,0.01212,0.01262,225064807.4,1559692799999,2924208.251202,9529,96782296.7,1259988.587603,0,2019-06-04,2019-06-04 23:59:59.999
12,1559692800000,0.01263,0.01377,0.0124,0.01327,302914891.4,1559779199999,3963726.20028,12108,144367770.3,1895490.357863,0,2019-06-05,2019-06-05 23:59:59.999
13,1559779200000,0.01323,0.0152,0.01313,0.01409,503244100.2,1559865599999,7129848.536952,18710,246486222.1,3503815.429202,0,2019-06-06,2019-06-06 23:59:59.999
14,1559865600000,0.01412,0.0147,0.01378,0.01445,193937537.6,1559951999999,2780050.500345,8194,103552346.4,1486986.062264,0,2019-06-07,2019-06-07 23:59:59.999
15,1559952000000,0.01443,0.0152,0.0136,0.01499,221327155.0,1560038399999,3235682.566436,8863,120012124.1,1757236.502544,0,2019-06-08,2019-06-08 23:59:59.999
16,1560038400000,0.01504,0.01577,0.01267,0.0133,357137406.4,1560124799999,5104574.459898,14064,152842017.8,2192320.080886,0,2019-06-09,2019-06-09 23:59:59.999
17,1560124800000,0.01325,0.01432,0.01265,0.01403,250862847.8,1560211199999,3424941.937505,9872,123627398.4,1690306.96546,0,2019-06-10,2019-06-10 23:59:59.999
18,1560211200000,0.01407,0.01416,0.01306,0.01363,145608455.2,1560297599999,1971574.265872,5643,62600310.6,847512.595068,0,2019-06-11,2019-06-11 23:59:59.999
19,1560297600000,0.01361,0.01364,0.01325,0.01348,100609259.9,1560383999999,1349248.070072,4445,43814710.1,588094.872478,0,2019-06-12,2019-06-12 23:59:59.999
20,1560384000000,0.01349,0.01357,0.01297,0.01318,108543279.1,1560470399999,1438003.56885,4465,44172528.5,586018.314769,0,2019-06-13,2019-06-13 23:59:59.999
21,1560470400000,0.01318,0.01339,0.01169,0.01254,173336509.4,1560556799999,2155117.349527,8957,71232450.9,882305.94263,0,2019-06-14,2019-06-14 23:59:59.999
22,1560556800000,0.01252,0.01266,0.01187,0.0122,129927326.3,1560643199999,1588398.240412,6007,51489938.1,630784.634652,0,2019-06-15,2019-06-15 23:59:59.999
23,1560643200000,0.01219,0.01233,0.01173,0.01199,103531784.5,1560729599999,1239051.538473,5118,48754879.5,584368.792104,0,2019-06-16,2019-06-16 23:59:59.999
