,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1575504000000,0.005,0.0125,0.005,0.0095648,1355498815.0,1575590399999,14332639.9010304,52214,663218436.0,7070434.0895968,0,2019-12-05,2019-12-05 23:59:59.999
1,1575590400000,0.0095648,0.01077,0.009023,0.009199,465809207.0,1575676799999,4558666.4889087,27741,219684253.0,2160244.2641599,0,2019-12-06,2019-12-06 23:59:59.999
2,1575676800000,0.0091989,0.009487,0.0080232,0.008148,213799288.0,1575763199999,1856111.0787934,7689,102355696.0,890100.4056743,0,2019-12-07,2019-12-07 23:59:59.999
3,1575763200000,0.0081481,0.009292,0.00761,0.0083497,338736904.0,1575849599999,2908033.777875,12920,159317260.0,1369232.6731653,0,2019-12-08,2019-12-08 23:59:59.999
4,1575849600000,0.0083385,0.00889,0.0078025,0.0079431,119212833.0,1575935999999,992206.6712889,5844,50137724.0,419173.3910359,0,2019-12-09,2019-12-09 23:59:59.999
5,1575936000000,0.0078602,0.0079143,0.007,0.0072064,154962587.0,1576022399999,1168019.7831597,7425,66158820.0,500085.3912145,0,2019-12-10,2019-12-10 23:59:59.999
6,1576022400000,0.0071451,0.0082753,0.0071449,0.00808,124184867.0,1576108799999,970360.5788208,5426,63440354.0,495698.2244484,0,2019-12-11,2019-12-11 23:59:59.999
7,1576108800000,0.0080724,0.0081304,0.0071702,0.0072029,78803444.0,1576195199999,582931.3569458,3817,29713891.0,219834.7414899,0,2019-12-12,2019-12-12 23:59:59.999
8,1576195200000,0.0072318,0.0074347,0.0071,0.0072889,37737070.0,1576281599999,274492.582027,1872,15431418.0,112555.3096249,0,2019-12-13,2019-12-13 23:59:59.999
9,1576281600000,0.0072608,0.0074777,0.00681,0.0069377,51259489.0,1576367999999,364560.7105879,3207,26876225.0,191152.5092147,0,2019-12-14,2019-12-14 23:59:59.999
10,1576368000000,0.0069326,0.0077629,0.0068106,0.0074794,79497827.0,1576454399999,588802.9902679,3630,40033260.0,296412.9831512,0,2019-12-15,2019-12-15 23:59:59.999
11,1576454400000,0.007441,0.007977,0.0069701,0.0071027,104235205.0,1576540799999,789729.4968051,4231,44747576.0,340180.0784387,0,2019-12-16,2019-12-16 23:59:59.999
12,1576540800000,0.0070807,0.0071879,0.0065005,0.0066374,52985874.0,1576627199999,361389.9499187,4370,27828174.0,189787.9231883,0,2019-12-17,2019-12-17 23:59:59.999
13,1576627200000,0.0066374,0.0072,0.0062502,0.0070006,53605278.0,1576713599999,361709.1984576,5682,33639816.0,227632.9989892,0,2019-12-18,2019-12-18 23:59:59.999
14,1576713600000,0.007078,0.0071843,0.0065233,0.0067794,60495208.0,1576799999999,410378.4774265,6244,38225807.0,259661.1101868,0,2019-12-19,2019-12-19 23:59:59.999
15,1576800000000,0.006758,0.0075982,0.0066783,0.0075189,107982838.0,1576886399999,783160.2451664,3159,49210605.0,357892.803478,0,2019-12-20,2019-12-20 23:59:59.999
16,1576886400000,0.0075182,0.00799,0.0074212,0.007866,113252861.0,1576972799999,868154.3970552,4007,56486266.0,433994.183902,0,2019-12-21,2019-12-21 23:59:59.999
17,1576972800000,0.0078343,0.0079493,0.0075,0.0078261,81210274.0,1577059199999,623264.4242639,3803,37942940.0,291900.7070757,0,2019-12-22,2019-12-22 23:59:59.999
18,1577059200000,0.0078227,0.0081212,0.0074526,0.0075902,1960317994.0,1577145599999,15181890.4836525,37074,968891521.0,7502116.2234118,0,2019-12-23,2019-12-23 23:59:59.999
19,1577145600000,0.0075931,0.0080637,0.007378,0.0077357,3000815652.0,1577231999999,23038091.3113415,65880,1495800743.0,11482434.6939287,0,2019-12-24,2019-12-24 23:59:59.999
