,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1566864000000,0.5,0.5,0.3432,0.409,1410307.32,1566950399999,615940.853183,4177,563375.73,247770.309782,0,2019-08-27,2019-08-27 23:59:59.999
1,1566950400000,0.4082,0.4499,0.3423,0.3462,2705189.74,1567036799999,1046518.575692,8111,1255909.35,484385.728075,0,2019-08-28,2019-08-28 23:59:59.999
2,1567036800000,0.3462,0.3465,0.2897,0.2955,1509358.37,1567123199999,479306.56802,5742,600719.68,191892.956247,0,2019-08-29,2019-08-29 23:59:59.999
3,1567123200000,0.2954,0.4056,0.2834,0.3656,8446511.19,1567209599999,3091995.198746,14907,3933763.85,1445769.494157,0,2019-08-30,2019-08-30 23:59:59.999
4,1567209600000,0.3663,0.3986,0.332,0.3387,4374296.25,1567295999999,1614442.033485,10794,1824939.54,676086.619442,0,2019-08-31,2019-08-31 23:59:59.999
5,1567296000000,0.3387,0.45,0.3333,0.4174,5945749.67,1567382399999,2332596.537453,11355,2732938.63,1071322.51353,0,2019-09-01,2019-09-01 23:59:59.999
6,1567382400000,0.4163,0.433,0.3756,0.3824,5050424.83,1567468799999,2003506.507056,10563,2106996.9,838766.483541,0,2019-09-02,2019-09-02 23:59:59.999
7,1567468800000,0.3839,0.4074,0.3429,0.3489,4203341.09,1567555199999,1561705.635101,10126,1672811.77,624068.553381,0,2019-09-03,2019-09-03 23:59:59.999
8,1567555200000,0.3495,0.3738,0.3277,0.3338,3569470.26,1567641599999,1236212.012035,8691,1305598.11,456067.764301,0,2019-09-04,2019-09-04 23:59:59.999
9,1567641600000,0.3323,0.3373,0.3003,0.3072,2912628.23,1567727999999,932147.785874,6136,1106610.55,355059.437397,0,2019-09-05,2019-09-05 23:59:59.999
10,1567728000000,0.3072,0.308,0.2715,0.2852,2673698.34,1567814399999,774505.788995,6559,814977.33,236040.753995,0,2019-09-06,2019-09-06 23:59:59.999
11,1567814400000,0.2854,0.3016,0.2768,0.2787,2041551.94,1567900799999,584841.720584,6165,701469.46,201155.392484,0,2019-09-07,2019-09-07 23:59:59.999
12,1567900800000,0.2795,0.2982,0.274,0.2809,2814471.88,1567987199999,803078.844898,5328,1015034.58,289714.546641,0,2019-09-08,2019-09-08 23:59:59.999
13,1567987200000,0.2806,0.2883,0.2638,0.2703,1887075.83,1568073599999,518287.4644,5570,807543.92,222061.447874,0,2019-09-09,2019-09-09 23:59:59.999
14,1568073600000,0.2703,0.2794,0.26,0.2615,1193965.6,1568159999999,322936.990621,4631,416538.76,113089.789922,0,2019-09-10,2019-09-10 23:59:59.999
15,1568160000000,0.2614,0.2658,0.2353,0.2389,1274347.4,1568246399999,317509.932515,4015,529336.86,131485.850561,0,2019-09-11,2019-09-11 23:59:59.999
16,1568246400000,0.239,0.295,0.2263,0.2714,3455859.06,1568332799999,936753.212225,5218,1442942.1,394019.710952,0,2019-09-12,2019-09-12 23:59:59.999
17,1568332800000,0.2714,0.2909,0.2545,0.2595,1927692.29,1568419199999,524151.721923,3508,836646.28,228636.526948,0,2019-09-13,2019-09-13 23:59:59.999
