,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1569283200000,1.015,1.11,0.775,0.8597,812705.26,1569369599999,796253.59407,3150,326763.5,322342.93121,0,2019-09-24,2019-09-24 23:59:59.999
1,1569369600000,0.8711,0.9122,0.8101,0.8517,342967.31,1569455999999,292972.046206,1751,160448.58,137125.37427,0,2019-09-25,2019-09-25 23:59:59.999
2,1569456000000,0.8521,0.9086,0.81,0.8503,406060.51,1569542399999,344849.947581,1691,152567.82,129252.962873,0,2019-09-26,2019-09-26 23:59:59.999
3,1569542400000,0.8451,0.8979,0.81,0.8845,257134.2,1569628799999,217677.571891,1085,119468.24,102542.095739,0,2019-09-27,2019-09-27 23:59:59.999
4,1569628800000,0.8866,0.94,0.8605,0.8902,251804.6,1569715199999,224891.619977,1113,144629.8,129542.140286,0,2019-09-28,2019-09-28 23:59:59.999
5,1569715200000,0.8966,0.9058,0.8565,0.8817,153810.52,1569801599999,135884.076308,892,75493.45,66982.513493,0,2019-09-29,2019-09-29 23:59:59.999
6,1569801600000,0.8743,0.9169,0.8405,0.9018,295749.36,1569887999999,257593.779159,1081,134818.44,118213.983856,0,2019-09-30,2019-09-30 23:59:59.999
7,1569888000000,0.9016,0.992,0.895,0.9502,279353.2,1569974399999,262799.043125,1419,197049.85,185046.491926,0,2019-10-01,2019-10-01 23:59:59.999
8,1569974400000,0.9482,0.9482,0.8854,0.9428,244306.65,1570060799999,222795.725331,1094,107466.32,97720.007978,0,2019-10-02,2019-10-02 23:59:59.999
9,1570060800000,0.9427,0.9627,0.9071,0.9299,218314.72,1570147199999,201467.698348,1278,108899.36,100690.009412,0,2019-10-03,2019-10-03 23:59:59.999
10,1570147200000,0.9306,0.9306,0.8967,0.9194,122336.97,1570233599999,111493.459403,938,34506.94,31602.096432,0,2019-10-04,2019-10-04 23:59:59.999
11,1570233600000,0.9155,0.9192,0.8983,0.9094,93787.32,1570319999999,85433.145516,596,45919.09,41895.803932,0,2019-10-05,2019-10-05 23:59:59.999
12,1570320000000,0.9114,0.9133,0.86,0.8641,237566.39,1570406399999,208277.061579,1239,91864.72,80526.001792,0,2019-10-06,2019-10-06 23:59:59.999
13,1570406400000,0.863,0.9238,0.8503,0.8983,334799.55,1570492799999,301777.610443,1591,171109.34,154494.345735,0,2019-10-07,2019-10-07 23:59:59.999
14,1570492800000,0.8983,0.913,0.8893,0.8982,162029.52,1570579199999,145887.719576,774,68438.33,61597.939415,0,2019-10-08,2019-10-08 23:59:59.999
15,1570579200000,0.8972,0.9591,0.89,0.9332,375400.73,1570665599999,348970.674369,1718,224051.67,207918.507779,0,2019-10-09,2019-10-09 23:59:59.999
16,1570665600000,0.9354,0.9478,0.9111,0.914,191529.09,1570751999999,177807.555349,1248,104894.27,97520.909547,0,2019-10-10,2019-10-10 23:59:59.999
17,1570752000000,0.9146,0.9196,0.876,0.9052,258983.29,1570838399999,232541.338342,1518,114880.94,103162.668022,0,2019-10-11,2019-10-11 23:59:59.999
18,1570838400000,0.9082,0.9121,0.89,0.89,72844.97,1570924799999,65812.180453,505,28944.72,26244.161333,0,2019-10-12,2019-10-12 23:59:59.999
19,1570924800000,0.8904,0.9362,0.8836,0.9031,179872.49,1571011199999,163916.814916,835,80140.45,73315.256298,0,2019-10-13,2019-10-13 23:59:59.999
20,1571011200000,0.8993,0.9373,0.8954,0.9363,209153.8,1571097599999,192051.218743,644,108534.33,100007.766097,0,2019-10-14,2019-10-14 23:59:59.999
21,1571097600000,0.9363,0.9384,0.9017,0.9056,99930.95,1571183999999,91784.501402,579,30930.36,28351.845526,0,2019-10-15,2019-10-15 23:59:59.999
22,1571184000000,0.9011,0.9087,0.8561,0.8731,162680.29,1571270399999,142878.399029,635,60489.23,53180.045171,0,2019-10-16,2019-10-16 23:59:59.999
23,1571270400000,0.8733,0.8961,0.8673,0.8923,83266.39,1571356799999,73696.07917,539,44501.11,39317.179635,0,2019-10-17,2019-10-17 23:59:59.999
24,1571356800000,0.8887,0.895,0.865,0.8792,60247.0,1571443199999,52857.57146,466,31212.21,27417.781473,0,2019-10-18,2019-10-18 23:59:59.999
25,1571443200000,0.875,0.8919,0.8533,0.8618,65336.8,1571529599999,57062.821452,468,30670.9,26850.245499,0,2019-10-19,2019-10-19 23:59:59.999
26,1571529600000,0.8593,0.8867,0.8533,0.8793,43130.94,1571615999999,37583.048438,434,16068.58,14014.85028,0,2019-10-20,2019-10-20 23:59:59.999
27,1571616000000,0.8796,0.8897,0.8608,0.8644,48259.34,1571702399999,42456.571787,310,25599.04,22572.522159,0,2019-10-21,2019-10-21 23:59:59.999
28,1571702400000,0.8692,0.8792,0.82,0.8335,235556.75,1571788799999,198613.372034,1422,118213.56,99722.47303,0,2019-10-22,2019-10-22 23:59:59.999
29,1571788800000,0.83,0.8345,0.7499,0.7585,357749.81,1571875199999,280740.336372,1215,138070.75,107831.878984,0,2019-10-23,2019-10-23 23:59:59.999
30,1571875200000,0.7595,0.7725,0.7499,0.759,221814.24,1571961599999,168595.259121,765,123509.68,93936.250088,0,2019-10-24,2019-10-24 23:59:59.999
31,1571961600000,0.7616,0.8399,0.7595,0.8348,304385.52,1572047999999,243907.726861,1217,157612.27,126046.635844,0,2019-10-25,2019-10-25 23:59:59.999
32,1572048000000,0.8346,0.92,0.8008,0.8346,344511.04,1572134399999,296052.070117,1667,191709.26,165373.402699,0,2019-10-26,2019-10-26 23:59:59.999
33,1572134400000,0.8373,0.89,0.8052,0.8603,325240.96,1572220799999,274279.669146,1266,164524.58,139314.587364,0,2019-10-27,2019-10-27 23:59:59.999
34,1572220800000,0.8622,0.93,0.848,0.85,356872.75,1572307199999,309864.698456,1441,167234.92,145969.66762,0,2019-10-28,2019-10-28 23:59:59.999
35,1572307200000,0.8485,0.8673,0.8276,0.8419,205439.83,1572393599999,174757.312461,756,98510.05,83708.165605,0,2019-10-29,2019-10-29 23:59:59.999
36,1572393600000,0.8421,0.9245,0.8225,0.8755,684841.22,1572479999999,602442.117785,2590,353141.51,310681.336037,0,2019-10-30,2019-10-30 23:59:59.999
37,1572480000000,0.8783,0.9248,0.8656,0.8832,517813.94,1572566399999,459842.233149,1813,257854.01,229359.898075,0,2019-10-31,2019-10-31 23:59:59.999
38,1572566400000,0.8827,0.8897,0.8588,0.8728,177185.03,1572652799999,154809.24711,816,93237.62,81585.043936,0,2019-11-01,2019-11-01 23:59:59.999
39,1572652800000,0.8789,0.8798,0.8548,0.8619,150251.18,1572739199999,130129.031456,715,66596.83,57829.988575,0,2019-11-02,2019-11-02 23:59:59.999
40,1572739200000,0.8621,0.8669,0.8462,0.8666,102598.99,1572825599999,87805.770667,568,48867.12,41840.806509,0,2019-11-03,2019-11-03 23:59:59.999
41,1572825600000,0.8658,0.905,0.8617,0.8859,360867.44,1572911999999,318937.455093,1759,192468.08,170010.819172,0,2019-11-04,2019-11-04 23:59:59.999
42,1572912000000,0.8857,0.9287,0.8763,0.9243,372594.52,1572998399999,337556.039919,1518,208952.74,189696.886175,0,2019-11-05,2019-11-05 23:59:59.999
43,1572998400000,0.9237,1.05,0.901,1.0156,1517698.65,1573084799999,1477725.944913,5166,780219.31,762301.606394,0,2019-11-06,2019-11-06 23:59:59.999
44,1573084800000,1.0153,1.4306,1.0153,1.2079,6496093.59,1573171199999,7769397.960344,23248,3095916.41,3688523.468771,0,2019-11-07,2019-11-07 23:59:59.999
45,1573171200000,1.2089,1.2999,1.1166,1.1659,2029353.23,1573257599999,2413189.441566,8751,926908.13,1100871.568708,0,2019-11-08,2019-11-08 23:59:59.999
46,1573257600000,1.166,1.275,1.147,1.2658,1137098.44,1573343999999,1376774.607116,4823,572077.69,692949.107162,0,2019-11-09,2019-11-09 23:59:59.999
47,1573344000000,1.2623,1.2648,1.1838,1.2237,866060.71,1573430399999,1061402.338564,3953,489760.41,601356.276526,0,2019-11-10,2019-11-10 23:59:59.999
48,1573430400000,1.2248,1.2466,1.1649,1.1706,527861.36,1573516799999,632829.513623,2800,225621.03,272274.411461,0,2019-11-11,2019-11-11 23:59:59.999
49,1573516800000,1.1723,1.2,1.1469,1.1655,412917.29,1573603199999,483929.596816,2207,193267.66,226834.936616,0,2019-11-12,2019-11-12 23:59:59.999
50,1573603200000,1.1668,1.1683,1.1106,1.1314,537021.4,1573689599999,611551.74349,2503,221079.47,251942.98286,0,2019-11-13,2019-11-13 23:59:59.999
51,1573689600000,1.128,1.2913,1.096,1.2162,2493395.26,1573775999999,3010026.718069,8844,1293555.16,1562471.305201,0,2019-11-14,2019-11-14 23:59:59.999
52,1573776000000,1.2161,1.2591,1.1264,1.17,1267783.16,1573862399999,1525822.444817,5622,514184.14,620971.439921,0,2019-11-15,2019-11-15 23:59:59.999
53,1573862400000,1.17,1.1759,1.1452,1.1546,495792.26,1573948799999,575308.192438,2597,189165.07,220011.120722,0,2019-11-16,2019-11-16 23:59:59.999
54,1573948800000,1.157,1.1721,1.1439,1.1552,401454.08,1574035199999,463949.648849,2279,164289.47,190266.973461,0,2019-11-17,2019-11-17 23:59:59.999
55,1574035200000,1.1558,1.259,1.1528,1.2122,1253135.9,1574121599999,1504296.990057,14327,601905.02,724912.75632,0,2019-11-18,2019-11-18 23:59:59.999
56,1574121600000,1.216,1.24,1.1353,1.2036,975672.12,1574207999999,1167422.050049,5151,541686.48,651541.97421,0,2019-11-19,2019-11-19 23:59:59.999
57,1574208000000,1.2036,1.2444,1.16,1.2145,905851.18,1574294399999,1091306.869074,4101,379587.81,459436.141378,0,2019-11-20,2019-11-20 23:59:59.999
